categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Encurtidos,286196,Aceitunas ATILIO AVENA Descarozadas Fra 300 Grm,42.79,Precio por 1 Kilo escurrido: $285.26
Alimentos Secos,Encurtidos,269676,Aceitunas Negras ATILIO AVENA En Salm Arauco Premium Fra 500,87.19,Precio por 1 Kilo escurrido: $174.38
Alimentos Secos,Encurtidos,86460,Aceitunas Negras CASTELL Pou 200 Grm,21.39,Precio por 1 Kilo escurrido: $213.90
Alimentos Secos,Encurtidos,100351,Aceitunas Negras CASTELL Pou 300 Grm,31.25,Precio por 1 Kilo escurrido: $173.61
Alimentos Secos,Encurtidos,261903,Aceitunas Negras CORMILLOT Descarozadas Fra 360 Grm,56.29,Precio por 1 Kilo escurrido: $312.72
Alimentos Secos,Encurtidos,101924,Aceitunas Negras NUCETE Descarozadas Light Fra 360 Grm,58.85,Precio por 1 Kilo escurrido: $326.94
Alimentos Secos,Encurtidos,165847,Aceitunas Negras NUCETE En Rodajas Doy 300 Grm,39.15,Precio por 1 Kilo escurrido: $261.00
Alimentos Secos,Panadería - Elaboración Propia,284553,Alfajor Bañado Chocolate Blanco LA TORTERIA Bli 6 Uni,36,Precio por 1 Unidad : $6.00
Alimentos Secos,Panadería - Elaboración Propia,206383,Alfajor Bañado Chocolate Negro LA TORTERIA Bli 6 Uni,36,Precio por 1 Unidad : $6.00
Alimentos Secos,Panadería - Elaboración Propia,47367,Alfajor Fecula Vainilla -T  X 1 Blister,27.5,Precio por 1 Unidad : $27.50
Alimentos Secos,Panadería - Elaboración Propia,208057,Alfajor Maicena Clasico Bli X 6 Uni,36,Precio por 1 Unidad : $6.00
Alimentos Secos,Panadería - Elaboración Propia,44544,Baguette COTO X Uni,6.5,Precio por 1 Unidad : $6.50
Alimentos Secos,Panadería - Elaboración Propia,44657,Baguette COTO X Uni,6.5,Precio por 1 Unidad : $6.50
Alimentos Secos,Panadería - Elaboración Propia,44547,Baguette De Salvado COTO X Uni,7.1,Precio por 1 Unidad : $7.10
Alimentos Secos,Panadería - Elaboración Propia,272709,Biscuit Briosh Paq 125 Grm,22,Precio por 1 Kilo : $176.00
Alimentos Secos,Panadería - Elaboración Propia,47498,Bollito Manteca COTO X Kg,53.89,Precio por 1 Kilogramo : $53.89
Alimentos Secos,Panadería - Elaboración Propia,47499,Bollito Queso COTO X Kg,53.89,Precio por 1 Kilogramo : $53.89
Alimentos Secos,Panadería - Elaboración Propia,47501,Bollito Salvado COTO X Kg,53.89,Precio por 1 Kilogramo : $53.89
Alimentos Secos,Panadería - Elaboración Propia,44059,Bollitos Ajo COTO X Kg,53.89,
Alimentos Secos,Tostadas,260690,Tarteletas VALENTE Paq 35 Uni 150 Grm,42.79,Precio por 1 Kilo : $285.26
Alimentos Secos,Tostadas,186540,Tostadas BAUDUCCO Con Gluten Paq 140 Grm,36.39,Precio por 1 Kilo : $227.43
Alimentos Secos,Tostadas,186587,Tostadas BAUDUCCO Light Paq 160 Grm,36.39,Precio por 1 Kilo : $227.43
Alimentos Secos,Tostadas,258046,Tostadas BAUDUCCO Multigranos Paq 160 Grm,36.39,Precio por 1 Kilo : $227.43
Alimentos Secos,Tostadas,282838,Tostadas Brevis Dulces Paq 200 Grm,29.95,Precio por 1 Kilo escurrido: $149.75
Alimentos Secos,Tostadas,55582,Tostadas BREVISS Bol 140 Grm,31.95,Precio por 1 Kilo : $228.21
Alimentos Secos,Tostadas,55583,Tostadas BREVISS De Salvado Bol 140 Grm,31.95,Precio por 1 Kilo : $228.21
